CountyName,Avg_21,Estimated Total Population,est_num_u17_pov,Mean Scale Score,Percentage Standard Exceeded
Alameda County,1025445.5287539936,95843.81912144703,935.7105943152454,2523.7007957559676,26.665568181818188
Alpine County,462946.0,1119.0,32.0,,24.285
Amador County,408510.7021276596,40083.0,546.0,2460.9903225806447,10.384285714285717
Butte County,360602.9597315436,29545.2125,709.675,2492.4417040358744,12.713974358974365
Calaveras County,378139.52702702704,23344.56818181818,473.40909090909093,2458.357534246576,10.412577319587626
Colusa County,287862.29333333333,4733.806451612903,129.32258064516128,2485.508333333333,7.846499999999999
Contra Costa County,881290.2947368422,103010.06711409397,1075.751677852349,2489.8498498498493,20.68544513457558
Del Norte County,298909.0,27968.0,914.0,2499.29375,13.474999999999996
El Dorado County,558334.4017094017,24586.959064327486,148.52631578947367,2507.7491999999966,19.211725146198827
Fresno County,272731.73711790395,46680.03083247688,2276.6587872559094,2458.568951612905,8.355808678500974
Glenn County,295112.17919075146,6181.821138211382,189.4878048780488,2466.9558139534874,9.407350427350428
Humboldt County,424547.7323943662,6105.286995515695,80.66367713004485,2489.548115942029,13.571951754385964
Imperial County,265902.3189655172,36437.362068965514,1464.0172413793102,2460.566896551724,8.121512195121948
Inyo County,398895.97872340423,7190.767441860465,139.8139534883721,2477.7900000000004,10.35655172413793
Kern County,266345.3941368078,67706.14912280702,1269.1754385964912,2463.123664122136,10.493351955307267
Kings County,284114.67532467534,17634.956666666665,397.37,2469.565972222221,13.46919928825621
Lake County,304769.40520446096,14634.539748953976,523.9037656903765,2447.500769230771,6.139375
Lassen County,186797.8426966292,5778.164383561644,70.9041095890411,2492.107,11.421846153846152
Los Angeles County,817137.0788402848,1275730.0683994528,35637.44117647059,2491.0820197044272,15.5857816862088
Madera County,376119.243697479,13858.574468085106,174.18085106382978,2495.307142857142,13.78043209876543
Marin County,1405411.878296146,46244.4043715847,306.24043715846994,2498.81102661597,23.111589041095883
Mariposa County,422966.6964285714,16435.347826086956,350.0,2473.831578947368,11.269423076923077
Mendocino County,498067.06382978725,5892.924528301887,151.75471698113208,2469.6845070422532,9.812254901960783
Merced County,358145.76608187135,30049.106870229007,673.6793893129772,2458.6435406698574,7.130993150684935
Modoc County,138666.88372093023,3644.909090909091,153.54545454545453,2469.2031249999995,7.797916666666668
Mono County,368981.3793103448,5108.689655172414,69.55172413793103,2526.09,22.2446875
Monterey County,1013234.6292134832,16702.979591836734,156.71428571428572,2489.9082474226807,15.967985074626865
Napa County,745007.4375,1632.7,13.9,2572.6125,22.830000000000005
Nevada County,609129.0883392226,19605.18691588785,173.79439252336448,2502.370059880238,18.38674107142858
Orange County,1039033.3100107643,234805.72156862746,2936.364705882353,2536.9435483871007,22.91271557271559
Placer County,650653.9714285714,56620.77900552486,458.4640883977901,2513.870320855614,21.956269841269858
Plumas County,296496.97297297296,12762.333333333334,272.6666666666667,2511.608510638298,10.764754098360651
Riverside County,499551.87386018236,135285.06652360514,3682.315450643777,2484.894555873925,11.890667976424362
Sacramento County,511049.1900452489,317119.713091922,8533.030640668523,2490.0708404802726,17.51108040201006
San Benito County,775423.8695652174,12817.0,72.77777777777777,2459.55,7.512083333333334
San Bernardino County,345665.89402173914,92048.87062937063,2621.75,2475.1397984886657,10.26776247848537
San Diego County,776210.838010204,154517.15530726258,1527.8491620111731,2496.3389207807113,15.334053377814847
San Francisco County,1604630.725,866606.0,7367.0,2497.1125,16.78469696969697
San Joaquin County,569272.4524647887,92866.45104086353,2836.905936777178,2475.9513761467933,13.182642487046614
San Luis Obispo County,806314.0472440945,60770.18811881188,400.61386138613864,2510.5080000000003,22.975188679245296
San Mateo County,1541556.9627521986,38779.10526315789,247.61244019138755,2482.5481720430066,21.506879084967274
Santa Barbara County,1475717.182795699,13996.074626865671,233.22388059701493,2504.0377358490573,23.162323943661974
Santa Clara County,1942137.848534202,207187.72654155496,1549.0670241286864,2536.304858299593,36.783320647002924
Santa Cruz County,1059414.7333333334,44840.51515151515,210.4848484848485,2558.0017857142857,32.394871794871804
Shasta County,356846.10669975186,22638.06050955414,404.5923566878981,2498.843999999999,15.381056338028193
Sierra County,227253.0,3527.0,58.0,2553.9,14.7875
Siskiyou County,232962.6025236593,3372.2290076335876,54.33587786259542,2489.5723214285717,11.89680981595092
Solano County,540111.1355932204,80792.14285714286,1387.7142857142858,2504.8838235294115,13.072653061224491
Sonoma County,842192.480349345,36165.137931034486,186.04137931034484,2517.478181818181,18.736666666666665
Stanislaus County,411356.037037037,63719.003134796236,1629.644723092999,2458.683283582091,10.739035476718408
Sutter County,461722.1867219917,14398.0,402.2903225806452,2502.7626865671637,14.321569767441858
Tehama County,288646.8683473389,11615.547169811322,228.7056603773585,2475.43,12.072196078431372
Trinity County,325929.0895522388,2417.3709677419356,54.016129032258064,2527.475555555555,24.048888888888897
Tulare County,288718.58083832334,76381.49504950496,2763.5495049504952,2458.098019801978,8.890547752808995
Tuolumne County,349440.5024875622,9269.216216216217,71.45945945945945,2481.949242424241,11.136746987951808
Ventura County,768318.9268292683,97463.87161366313,1344.396937573616,2489.7674193548414,18.25759016393444
Yolo County,526762.5820895522,40263.04,776.68,2532.403333333334,17.32807692307692
Yuba County,352164.0875912409,60323.37234042553,2379.5851063829787,2445.443478260869,6.501013824884795
